category_one	category_two	category_three	assigned	summary	num_services
문화체육관광	관광	관광정책 	64468789000	492155527000	80
환경보호	환경보호일반	도시환경 	213781132000	1414367080000	174
일반공공행정	일반행정	일반행정지원 	1754742821000	8669987569000	690
지역개발	지역및도시	건설건축 	1879026714000	10735450149000	658
환경보호	상하수도및수질	상수도 	1743428123000	10425981906000	426
문화체육관광	문화예술	지역문화예술진흥 	288898505000	1852212242000	295
수송및교통	도로	도로관리 	1079049886000	21105381697000	402
사회복지	노인청소년	노인생활안정 	869827381000	4268579664000	208
사회복지	보육가족및여성	가족기능강화 	694065462000	3344365025000	107
보건	보건의료	지역보건 	473102773000	2196315163000	318
공공질서및안전	재난방재및민방위	민방위 	134432148000	686323831000	84
수송및교통	물류등기타	교통관리 	2208241375000	15916089064000	273
사회복지	주택	임대주택정책 	868777619000	4935075750000	79
산업중소기업	산업진흥고도화	산업진흥 	324421657000	2628988721000	59
문화체육관광	체육	체육정책 	114337959000	545364851000	130
산업중소기업	산업금융지원	산업및중소기업금융지원 	762338050000	645910594000	8
환경보호	대기	대기보전 	493859826000	6393421238000	125
산업중소기업	무역및투자유치	무역 	16730460000	89122560000	58
사회복지	취약계층지원	장애인생활안정지원 	2120856672000	11151265336000	190
사회복지	노동	고용정책 	188996248000	894681647000	32
지역개발	산업단지	산업단지개발 	6212938000	34881099000	7
환경보호	폐기물	폐기물관리일반 	131076416000	723295672000	70
보건	식품의약안전	식품안전 	17864224000	27073429000	24
환경보호	자연	생태계 	37442054000	219888520000	33
일반공공행정	재정금융	지방세운용 	2634709355000	7513661908000	26
산업중소기업	산업중소기업일반	지역경제 	14470385000	54331204000	27
농림해양수산	농업농촌	농림진흥 	11009927000	251859042000	49
지역개발	수자원	하천 	408661300000	1586955300000	92
교육	고등교육	대학관리일반 	50383602000	243632394000	26
문화체육관광	문화재	문화재보존정책 	70573193000	412066958000	71
교육	유아및초중등교육	유아교육 	2446340701000	12339780015000	13
일반공공행정	일반행정	선거관리 	19992960000	82571129000	41
수송및교통	도시철도	도시철도건설 	602118441000	6776542313000	19
교육	평생직업교육	평생직업교육기반 	12462320000	87004594000	15
일반공공행정	재정금융	지방세외운용 	2845014120000	15952286410000	4
공공질서및안전	경찰	자치경찰일반관리 	1757872000	10054328000	2
문화체육관광	관광	관광산업 	20651960000	24015960000	2
