category_one	category_two	category_three	assigned	summary	num_services
지역개발	지역및도시	건설건축 	1695878534000	10879256526000	459
환경보호	환경보호일반	도시환경 	72686646000	1026773456000	106
문화체육관광	문화예술	지역문화예술진흥 	246749123000	2087294530000	291
교육	고등교육	대학관리일반 	47557485000	417229582000	51
공공질서및안전	재난방재및민방위	민방위 	130500273000	882237949000	85
일반공공행정	일반행정	일반행정지원 	1898964858000	9455644017000	581
보건	보건의료	지역보건 	279952742000	1500852411000	229
보건	식품의약안전	식품안전 	26350179000	80354988000	35
수송및교통	도로	도로관리 	725226007000	16119549214000	340
문화체육관광	관광	관광정책 	55462412000	279279786000	88
사회복지	취약계층지원	장애인생활안정지원 	2472522110000	12331680376000	187
지역개발	수자원	하천 	288397273000	1530793971000	110
사회복지	보육가족및여성	가족기능강화 	1174802013000	5121102350000	113
문화체육관광	체육	체육정책 	153509471000	710211865000	94
산업중소기업	무역및투자유치	무역 	9329100000	122733710000	39
사회복지	주택	임대주택정책 	1063463655000	4517472953000	83
교육	평생직업교육	평생직업교육기반 	5296158000	30478517000	10
산업중소기업	산업중소기업일반	지역경제 	23913266000	135982920000	28
문화체육관광	문화재	문화재보존정책 	67097777000	312497412000	90
환경보호	상하수도및수질	상수도 	1857203364000	28891190799000	461
수송및교통	물류등기타	교통관리 	2626279601000	17244779773000	288
지역개발	산업단지	산업단지개발 	1823522000	171506651000	12
산업중소기업	산업진흥고도화	산업진흥 	528571163000	1609847932000	73
환경보호	자연	생태계 	46012471000	225585450000	34
환경보호	대기	대기보전 	409237749000	2543952034000	117
사회복지	노인청소년	노인생활안정 	925089797000	4862712714000	148
환경보호	폐기물	폐기물관리일반 	122196516000	504779360000	62
일반공공행정	일반행정	선거관리 	18951565000	83994201000	40
농림해양수산	농업농촌	농림진흥 	66801219000	543666141000	44
일반공공행정	재정금융	지방세운용 	1301158035000	752251666000	24
사회복지	노동	고용정책 	110370627000	657051424000	28
교육	유아및초중등교육	유아교육 	2643664246000	12749330978000	35
수송및교통	도시철도	도시철도건설 	334939190000	13051474732000	29
일반공공행정	재정금융	지방세외운용 	2937044976000	15071161268000	4
산업중소기업	산업금융지원	산업및중소기업금융지원 	467799640000	0	4
일반공공행정	재정금융	지방세정책기획 	1049000000	0	1
사회복지	사회복지일반	사회복지기반조성 	14290000000	51795300000	1
공공질서및안전	경찰	자치경찰일반관리 	1302972000	8339018000	2
