service	category_one	category_two	category_three	assigned	summaryn'14년 페루 찬차마요시 수도시설개선 사업	산업중소기업	무역및투자유치	무역 	330000000	0
소방 인재 채용 및 양성	공공질서및안전	재난방재및민방위	민방위 	2145755000	10094651000
소방공무원 보건복지 증진	공공질서및안전	재난방재및민방위	민방위 	15799803000	80487562000
소방공무원 피복비	공공질서및안전	재난방재및민방위	민방위 	2890328000	13303666000
소방관서 보수, 보강공사	공공질서및안전	재난방재및민방위	민방위 	3833359000	20740717000
소방보조인력 양성 및 운영	공공질서및안전	재난방재및민방위	민방위 	539379000	2646536000
소방용수시설 보수	공공질서및안전	재난방재및민방위	민방위 	2297040000	11693810000
소방용수시설 설치	공공질서및안전	재난방재및민방위	민방위 	1900000000	15800000000
소방직무능력 제고	공공질서및안전	재난방재및민방위	민방위 	903553000	4177096000
소방차량 대폐차	공공질서및안전	재난방재및민방위	민방위 	3801110000	19425464000
소방차량 유지관리	공공질서및안전	재난방재및민방위	민방위 	4110772000	20297931000
소방차량 증차	공공질서및안전	재난방재및민방위	민방위 	370000000	1480000000
소방청렴도 향상 및 투명성 제고	공공질서및안전	재난방재및민방위	민방위 	59878000	514517000
소방청사 시설물 관리	공공질서및안전	재난방재및민방위	민방위 	3034743000	15603119000
소방통신망 보강 및 유지관리	공공질서및안전	재난방재및민방위	민방위 	1024241000	5122221000
소방학교 교육기자재 등 비품구입	공공질서및안전	재난방재및민방위	민방위 	0	0
소방학교 교육훈련 시설확충 및 보수	공공질서및안전	재난방재및민방위	민방위 	0	0
소방학교 청사 및 시설장비 유지관리	공공질서및안전	재난방재및민방위	민방위 	456269000	1964995000
소방항공대 운영	공공질서및안전	재난방재및민방위	민방위 	1524959000	7951999000
소방행정타운 건립	공공질서및안전	재난방재및민방위	민방위 	15313703000	117158703000
소방화재 안전·보조장비 보급 및 유지관리	공공질서및안전	재난방재및민방위	민방위 	2271191000	11747311000
소방활동지원	공공질서및안전	재난방재및민방위	민방위 	17682205000	87876513000
수난구조대 운영	공공질서및안전	재난방재및민방위	민방위 	753929000	3091012000
스마트 재난안전관리시스템 유지관리	공공질서및안전	재난방재및민방위	민방위 	23760000	263760000
스마트 재난안전시스템 구축	공공질서및안전	재난방재및민방위	민방위 	0	0
시민 안전문화 활성화	공공질서및안전	재난방재및민방위	민방위 	52830000	512830000
시민안전교육 강화	공공질서및안전	재난방재및민방위	민방위 	283060000	1384840000
시민안전의식 강화	공공질서및안전	재난방재및민방위	민방위 	148200000	741000000
시민안전체험관  운영	공공질서및안전	재난방재및민방위	민방위 	1347270000	6728987000
안전리더 육성 및 재난안전 교육	공공질서및안전	재난방재및민방위	민방위 	220785000	1387985000
업무용정수물품 및 기타 행정용품 구입	공공질서및안전	재난방재및민방위	민방위 	34762000	219251000
예방업무 추진 향상	공공질서및안전	재난방재및민방위	민방위 	1077567000	5408285000
예비군 관련 수방사지원	공공질서및안전	재난방재및민방위	민방위 	337120000	1703480000
예비군의 날 행사 실시	공공질서및안전	재난방재및민방위	민방위 	15905000	79525000
을지연습 실시	공공질서및안전	재난방재및민방위	민방위 	320362000	1610508000
의료 및 구호비 지원	공공질서및안전	재난방재및민방위	민방위 	209000000	0
의무소방대 관리 및 운영	공공질서및안전	재난방재및민방위	민방위 	0	0
의용소방대 활동수당 등	공공질서및안전	재난방재및민방위	민방위 	2904656000	12654680000
이재민 재해보상	공공질서및안전	재난방재및민방위	민방위 	300000000	0
인력동원실제훈련 및 자원관리	공공질서및안전	재난방재및민방위	민방위 	31365000	166530000
재난 및 안전 대책 관리	공공질서및안전	재난방재및민방위	민방위 	54000000	290900000
재난관리 우수지자체 지원	공공질서및안전	재난방재및민방위	민방위 	70000000	70000000
재난관리우수지자체지원(보조)	공공질서및안전	재난방재및민방위	민방위 	0	70000000
재난대응 안전 한국 훈련	공공질서및안전	재난방재및민방위	민방위 	128000000	588430000
재난대응능력향상	공공질서및안전	재난방재및민방위	민방위 	283158000	1373852000
재난상황 현장대응장비 구축·운영	공공질서및안전	재난방재및민방위	민방위 	39560000	197800000
재난의 선제적 예방 홍보	공공질서및안전	재난방재및민방위	민방위 	168500000	843500000
재난취약가구 안전점검 및 정비	공공질서및안전	재난방재및민방위	민방위 	654500000	3294400000
재난피해자 심리안정지원	공공질서및안전	재난방재및민방위	민방위 	28000000	129500000
재난현장 영상기록물 보존 및 제공	공공질서및안전	재난방재및민방위	민방위 	112546000	766184000
재해복구사업 분석평가용역(우면천 등 24개소)	공공질서및안전	재난방재및민방위	민방위 	700000000	700000000
재향군인회관 개·보수 지원	공공질서및안전	재난방재및민방위	민방위 	2070000000	2220000000
저소득층 밀집지역 생활환경 개선	공공질서및안전	재난방재및민방위	민방위 	880000000	4880000000
전문기관 위탁교육 훈련	공공질서및안전	재난방재및민방위	민방위 	830216000	4138104000
전산시스템 보강 및 유지관리	공공질서및안전	재난방재및민방위	민방위 	2121680000	8511914000
주민참여형 안전마을 만들기	공공질서및안전	재난방재및민방위	민방위 	150000000	2650000000
지역민방위대 방독면 확충	공공질서및안전	재난방재및민방위	민방위 	601250000	3126500000
지진가속도계측기 통합관리시스템 구축	공공질서및안전	재난방재및민방위	민방위 	0	0
체력단련기구 확보	공공질서및안전	재난방재및민방위	민방위 	49279000	248845000
통합방위협의회 운영	공공질서및안전	재난방재및민방위	민방위 	33025000	169325000
특수구조대 운영	공공질서및안전	재난방재및민방위	민방위 	216440000	865760000
특수구조장비보강 및 유지관리	공공질서및안전	재난방재및민방위	민방위 	1878788000	7344638000
특정관리대상시설물 등 민간전문가 합동 안전관리	공공질서및안전	재난방재및민방위	민방위 	0	0
한강안전시스템 구축	공공질서및안전	재난방재및민방위	민방위 	339402000	3497602000
화재조사 업무의 전문화	공공질서및안전	재난방재및민방위	민방위 	119300000	578000000
120다산콜센터 관리 및 고도화	일반공공행정	일반행정	일반행정지원 	2698051000	14787898000
120다산콜센터 운영	일반공공행정	일반행정	일반행정지원 	17623493000	88571786000
1:1,000 수치지도 갱신사업	일반공공행정	일반행정	일반행정지원 	1421000000	5667000000
2013 전국 지방세 발전포럼 개최	일반공공행정	일반행정	일반행정지원 	0	30000000
2013 희망 서울 구매 EXPO	일반공공행정	일반행정	일반행정지원 	0	181000000
2013회계연도 결산업무 추진	일반공공행정	일반행정	일반행정지원 	193179000	996569000
2014 공간정보시스템 유지보수	일반공공행정	일반행정	일반행정지원 	342000000	1898690000
2014년 항공사진 통합관리 원스톱 서비스	일반공공행정	일반행정	일반행정지원 	143000000	759200000
3차원 실내공간 GIS 구축사업	일반공공행정	일반행정	일반행정지원 	497283000	647283000
5급 승진자 역량평가 이해과정 운영	일반공공행정	일반행정	일반행정지원 	77970000	311880000
5급 승진자 역량평가과정 운영	일반공공행정	일반행정	일반행정지원 	984590000	4640684000
6.25전쟁 납북진상규명 및 명예회복 지원	일반공공행정	일반행정	일반행정지원 	92914000	438554000
6급 실무전문가 양성과정 운영	일반공공행정	일반행정	일반행정지원 	858589000	4961826000
CCTV관리운영체계 고도화	일반공공행정	일반행정	일반행정지원 	0	0
IT COMPLEX 건립	일반공공행정	일반행정	일반행정지원 	30000000000	120413000000
IT전문교육 운영	일반공공행정	일반행정	일반행정지원 	869517000	4417273000
TEIN 협력센터 운영 지원	일반공공행정	일반행정	일반행정지원 	60000000	300000000
U-Smart(장애) 프리존 확대 구축	일반공공행정	일반행정	일반행정지원 	0	111657000
e-러닝 운영	일반공공행정	일반행정	일반행정지원 	373739000	1958048000
e-러닝콘텐츠 개발	일반공공행정	일반행정	일반행정지원 	84250000	571548000
mVoting 시스템 서비스 운영	일반공공행정	일반행정	일반행정지원 	0	0
u-Seoul 정보보호체계 구축	일반공공행정	일반행정	일반행정지원 	1646267000	8685967000
u-서울 안전서비스 운영 및 확대	일반공공행정	일반행정	일반행정지원 	130000000	673089000
u-지식여행 개발 운영	일반공공행정	일반행정	일반행정지원 	200700000	1055320000
가족관계등록사무지원	일반공공행정	일반행정	일반행정지원 	0	0
갈등 현안토론 · 학술회의	일반공공행정	일반행정	일반행정지원 	17190000	179340000
갈등관리 역량강화	일반공공행정	일반행정	일반행정지원 	21540000	180580000
갈등관리심의위원회 운영	일반공공행정	일반행정	일반행정지원 	9100000	85400000
갈등영향분석 실시	일반공공행정	일반행정	일반행정지원 	68160000	696320000
감사활동 지원 및 감사의 투명성 제고	일반공공행정	일반행정	일반행정지원 	121420000	619491000
강동청소년회관 시설개선 (주민참여)	일반공공행정	일반행정	일반행정지원 	200000000	200000000
강원도 드림프로그램 지원	일반공공행정	일반행정	일반행정지원 	70000000	0
개인정보 영향평가 용역	일반공공행정	일반행정	일반행정지원 	369000000	1459380000
개인정보보호 관리시스템 개발	일반공공행정	일반행정	일반행정지원 	50000000	50000000
계약심사 업무추진	일반공공행정	일반행정	일반행정지원 	46100000	206400000
계약심의위원회 등 운영	일반공공행정	일반행정	일반행정지원 	15360000	82560000
계약정보통합관리시스템 구축	일반공공행정	일반행정	일반행정지원 	1143902000	1437902000
고액체납시세 징수 강화	일반공공행정	일반행정	일반행정지원 	265300000	1328200000
고위 관리직 역량평가 운영	일반공공행정	일반행정	일반행정지원 	0	85780000
고충민원 처리체계 강화	일반공공행정	일반행정	일반행정지원 	90180000	470340000
공간정보 플랫폼 기능개선	일반공공행정	일반행정	일반행정지원 	214264000	1081646000
공공 무선인터넷(WiFi)인프라 확충	일반공공행정	일반행정	일반행정지원 	1301531000	5651030000
공공공사 사전계약심사제 운영	일반공공행정	일반행정	일반행정지원 	108056000	390056000
공공구매 통합관리시스템 운영 및 유지보수	일반공공행정	일반행정	일반행정지원 	34804000	161216000
공무원 단체업무 추진	일반공공행정	일반행정	일반행정지원 	28320000	141600000
공무원 주택전세금 지원	일반공공행정	일반행정	일반행정지원 	4008000000	20038000000
공무원 채용 및 기타 시험 관리	일반공공행정	일반행정	일반행정지원 	3272719000	15561891000
공무원직접수행 학술용역	일반공공행정	일반행정	일반행정지원 	66200000	331000000
공유서울 확산	일반공공행정	일반행정	일반행정지원 	900000000	3620650000
공유재산 관리 및 운영	일반공공행정	일반행정	일반행정지원 	1022011000	5166774000
공익제보 활성화 및 공익제보자 지원	일반공공행정	일반행정	일반행정지원 	42920000	174680000
공정하고 합리적인 인사관리 운영	일반공공행정	일반행정	일반행정지원 	462696000	1945384000
공직자 재산등록 사무처리	일반공공행정	일반행정	일반행정지원 	89730000	452400000
과태료 사전통지서 PDA 발급 확대	일반공공행정	일반행정	일반행정지원 	180000000	720000000
교육과정개발 및 교육훈련계획 수립	일반공공행정	일반행정	일반행정지원 	32800000	145200000
교육생 급식지원	일반공공행정	일반행정	일반행정지원 	215331000	1045599000
교육훈련 진단 및 효과분석	일반공공행정	일반행정	일반행정지원 	0	150000000
교육훈련장비 확충	일반공공행정	일반행정	일반행정지원 	133650000	723612000
구립학수경로당 기능개선 (주민참여)	일반공공행정	일반행정	일반행정지원 	45000000	45000000
국ㆍ시유재산 관리위임	일반공공행정	일반행정	일반행정지원 	300000000	5540000000
국가입법관리시스템 및 법무행정서비스 운영	일반공공행정	일반행정	일반행정지원 	120804000	318639000
국고보조금반환	일반공공행정	일반행정	일반행정지원 	504000	2016000
국고보조금반환	일반공공행정	일반행정	일반행정지원 	1051000000	1051000000
국내위탁교육훈련	일반공공행정	일반행정	일반행정지원 	2882004000	14404716000
기강감찰 운영	일반공공행정	일반행정	일반행정지원 	52023000	260115000
기관별 성과 평가	일반공공행정	일반행정	일반행정지원 	1000000000	5000000000
기관운영경비	일반공공행정	일반행정	일반행정지원 	2155000000	11985160000
기금관리비(식품진흥기금)	일반공공행정	일반행정	일반행정지원 	0	0
기록관 운영	일반공공행정	일반행정	일반행정지원 	2332499000	12629417000
기록정보 콘텐츠 개발	일반공공행정	일반행정	일반행정지원 	0	109000000
기본경비	일반공공행정	일반행정	일반행정지원 	88548000	447012000
기본경비	일반공공행정	일반행정	일반행정지원 	352556000	1760020000
기본경비	일반공공행정	일반행정	일반행정지원 	72434000	365445000
기본경비	일반공공행정	일반행정	일반행정지원 	56368000	284024000
기본경비	일반공공행정	일반행정	일반행정지원 	42295000	211475000
기본경비	일반공공행정	일반행정	일반행정지원 	147669000	746829000
기본경비	일반공공행정	일반행정	일반행정지원 	367896000	1902200000
기본경비	일반공공행정	일반행정	일반행정지원 	129009000	649245000
기본경비	일반공공행정	일반행정	일반행정지원 	53867000	269335000
기본경비	일반공공행정	일반행정	일반행정지원 	246177000	1244885000
기본경비	일반공공행정	일반행정	일반행정지원 	646861000	3317277000
기본경비	일반공공행정	일반행정	일반행정지원 	292774000	1459323000
기본경비	일반공공행정	일반행정	일반행정지원 	331446000	1651130000
기본경비	일반공공행정	일반행정	일반행정지원 	67541000	344982000
기본경비	일반공공행정	일반행정	일반행정지원 	66867000	334335000
기본경비	일반공공행정	일반행정	일반행정지원 	73902000	366566000
기본경비	일반공공행정	일반행정	일반행정지원 	46634000	233170000
기본경비	일반공공행정	일반행정	일반행정지원 	70727000	353635000
기본경비	일반공공행정	일반행정	일반행정지원 	63596000	325714000
기본경비	일반공공행정	일반행정	일반행정지원 	64350000	322614000
기본경비	일반공공행정	일반행정	일반행정지원 	89108000	457240000
기본경비	일반공공행정	일반행정	일반행정지원 	1629744000	7918657000
기본경비	일반공공행정	일반행정	일반행정지원 	1972986000	9865727000
기본경비	일반공공행정	일반행정	일반행정지원 	69712000	348560000
기본경비	일반공공행정	일반행정	일반행정지원 	239125000	1209574000
기본경비	일반공공행정	일반행정	일반행정지원 	57754000	288770000
기본경비	일반공공행정	일반행정	일반행정지원 	1845981000	9208476000
기본경비	일반공공행정	일반행정	일반행정지원 	356529000	1781731000
기본경비	일반공공행정	일반행정	일반행정지원 	854688000	4327498000
기본경비	일반공공행정	일반행정	일반행정지원 	43714000	218570000
기본경비	일반공공행정	일반행정	일반행정지원 	165871000	827627000
기본경비	일반공공행정	일반행정	일반행정지원 	55309000	278459000
기본경비	일반공공행정	일반행정	일반행정지원 	261027000	1305085000
기본경비	일반공공행정	일반행정	일반행정지원 	71105000	349828000
기본경비	일반공공행정	일반행정	일반행정지원 	537063000	2681322000
기본경비	일반공공행정	일반행정	일반행정지원 	3369410000	32779706000
기본경비	일반공공행정	일반행정	일반행정지원 	74165000	370825000
기본경비	일반공공행정	일반행정	일반행정지원 	154017000	770085000
기본경비	일반공공행정	일반행정	일반행정지원 	107927000	541264000
기본경비	일반공공행정	일반행정	일반행정지원 	1655353000	8290741000
기본경비	일반공공행정	일반행정	일반행정지원 	42949000	214745000
기본경비	일반공공행정	일반행정	일반행정지원 	1234420000	6170739000
기본경비	일반공공행정	일반행정	일반행정지원 	60278000	301414000
기본경비	일반공공행정	일반행정	일반행정지원 	1212318000	6065470000
기본경비	일반공공행정	일반행정	일반행정지원 	947770000	4743019000
기본경비	일반공공행정	일반행정	일반행정지원 	73300000	314622000
기본경비	일반공공행정	일반행정	일반행정지원 	413330000	2064368000
기본경비	일반공공행정	일반행정	일반행정지원 	294766000	1473830000
기본경비	일반공공행정	일반행정	일반행정지원 	43378000	216890000
기본경비	일반공공행정	일반행정	일반행정지원 	49018000	245090000
기본경비	일반공공행정	일반행정	일반행정지원 	52712000	263560000
기본경비	일반공공행정	일반행정	일반행정지원 	134001000	670005000
기본경비	일반공공행정	일반행정	일반행정지원 	2055966000	10279830000
기본경비	일반공공행정	일반행정	일반행정지원 	65561000	327805000
기본경비	일반공공행정	일반행정	일반행정지원 	114450000	572250000
기본경비	일반공공행정	일반행정	일반행정지원 	74218000	371090000
기본경비	일반공공행정	일반행정	일반행정지원 	624741000	3138255000
