service	category_one	category_two	category_three	assigned	summary
"서울의제21" 실천	환경보호	환경보호일반	도시환경 	900000000	4850000000
"한강 역사성 살리기" 추진	환경보호	환경보호일반	도시환경 	0	1672500000
ISO14001 (환경관리체계) 사후관리	환경보호	환경보호일반	도시환경 	5000000	32000000
ISO14001(환경경영체제) 사후관리	환경보호	환경보호일반	도시환경 	6400000	32000000
U-한강 구축	환경보호	환경보호일반	도시환경 	0	18240000000
강변문화카페 페스티벌(여름)	환경보호	환경보호일반	도시환경 	0	61000000
강변북로 교량하부 둔치 정비	환경보호	환경보호일반	도시환경 	0	9000000000
강서습지 개화산간 생태통로 개설	환경보호	환경보호일반	도시환경 	0	40000000
고덕 생태학습관 건립	환경보호	환경보호일반	도시환경 	0	1000000000
과학·문화 체험교실 운영	환경보호	환경보호일반	도시환경 	0	2000000000
관공선 등 수상안전관리	환경보호	환경보호일반	도시환경 	1429000000	7880000000
나비·유채꽃 축제	환경보호	환경보호일반	도시환경 	50000000	265000000
난지 물놀이장 유지관리	환경보호	환경보호일반	도시환경 	340000000	2738000000
난지 캠핑장 방음벽 설치	환경보호	환경보호일반	도시환경 	0	840000000
난지선착장 건조	환경보호	환경보호일반	도시환경 	0	0
녹색서울시민위원회 운영	환경보호	환경보호일반	도시환경 	892400000	4468000000
녹지시설 유지관리	환경보호	환경보호일반	도시환경 	3807000000	18414000000
농약빈병 회수부담금 지원	환경보호	환경보호일반	도시환경 	550000	8317000
달빛광장 주말 문화마당	환경보호	환경보호일반	도시환경 	0	456500000
둔치 및 화장실 청소	환경보호	환경보호일반	도시환경 	3045300000	14969200000
둔치주차장 교통안전시설 확충	환경보호	환경보호일반	도시환경 	0	2000000000
뚝섬 디자인서울갤러리 운영 및 전시	환경보호	환경보호일반	도시환경 	180000000	920000000
뚝섬 인공암벽장 운영관리	환경보호	환경보호일반	도시환경 	55000000	254000000
뚝섬 전망복합시설 운영 및 관리	환경보호	환경보호일반	도시환경 	530000000	3955000000
망원동 보행녹도 조성	환경보호	환경보호일반	도시환경 	0	34800000000
