category_one	category_two	category_three	assigned	summary	num_services
공공질서및안전	재난방재및민방위	민방위 	118096092000	796207274000	92
일반공공행정	일반행정	일반행정지원 	1955903767000	11243210967000	600
보건	식품의약안전	식품안전 	18591007000	45883827000	66
수송및교통	도로	도로관리 	902596839000	10942308893000	439
문화체육관광	관광	관광정책 	53104153000	342837237000	76
사회복지	취약계층지원	장애인생활안정지원 	2770135879000	14927860591000	199
문화체육관광	체육	체육정책 	163785127000	821283076000	95
산업중소기업	무역및투자유치	무역 	9474729000	44367697000	34
문화체육관광	문화예술	지역문화예술진흥 	193428342000	1189668325000	316
사회복지	주택	임대주택정책 	1293280686000	4806238220000	71
지역개발	산업단지	산업단지개발 	51728920000	174461399000	8
지역개발	지역및도시	건설건축 	1881028458000	10892057924000	452
산업중소기업	산업진흥고도화	산업진흥 	421833005000	1476754461000	85
사회복지	노인청소년	노인생활안정 	999543779000	5322625126000	160
수송및교통	물류등기타	교통관리 	2553111769000	16017536978000	256
산업중소기업	산업중소기업일반	지역경제 	44783836000	313695077000	30
환경보호	상하수도및수질	상수도 	1399077738000	12303190664000	454
보건	보건의료	지역보건 	311372354000	1856186742000	231
농림해양수산	농업농촌	농림진흥 	52983914000	528199265000	54
환경보호	자연	생태계 	64920723000	442259972000	37
환경보호	대기	대기보전 	437922565000	1880159551000	98
환경보호	폐기물	폐기물관리일반 	171332217000	788732326000	64
일반공공행정	일반행정	선거관리 	23312689000	116773523000	49
환경보호	환경보호일반	도시환경 	84487625000	680747196000	89
지역개발	수자원	하천 	337217215000	1375259005000	102
사회복지	보육가족및여성	가족기능강화 	1678951360000	7654778169000	138
일반공공행정	재정금융	지방세운용 	1271500740000	1784372478000	29
교육	고등교육	대학관리일반 	42951123000	303426635000	24
교육	유아및초중등교육	유아교육 	2545720381000	16831014832000	29
사회복지	사회복지일반	사회복지기반조성 	35504850000	269743066000	9
사회복지	노동	고용정책 	84784846000	634223197000	31
문화체육관광	문화재	문화재보존정책 	85698628000	306243642000	106
수송및교통	도시철도	도시철도건설 	502476573000	8076490017000	21
교육	평생직업교육	평생직업교육기반 	6080888000	34628375000	10
일반공공행정	재정금융	지방세외운용 	3062454313000	14476541482000	4
산업중소기업	산업금융지원	산업및중소기업금융지원 	392234125000	0	5
일반공공행정	재정금융	지방세정책기획 	1160259000	4102000000	1
공공질서및안전	경찰	자치경찰일반관리 	1124761000	6113760000	2
