service	category_one	category_two	category_three	assigned	summary
서울대공원 시설장비 개선	지역개발	지역및도시	건설건축 	26000000	893430000
2016년 수도권 개발제한구역관리계획 수립용역	지역개발	지역및도시	건설건축 	0	93000000
2017 국제건축가연맹 총회 유치	지역개발	지역및도시	건설건축 	0	1187000000
2017 서울 세계건축대회	지역개발	지역및도시	건설건축 	0	0
2030 도시기본계획 실현을 위한 계획실행 평가시스템 구축	지역개발	지역및도시	건설건축 	0	120000000
2030 서울 도시기본계획 실현을 위한 중심지 특화육성계획 수립	지역개발	지역및도시	건설건축 	0	300000000
4대문안 역사·문화도시관리기본계획 수립	지역개발	지역및도시	건설건축 	322000000	652000000
4차원 도시계획정보시스템 구축	지역개발	지역및도시	건설건축 	0	0
4차원 도시계획정보시스템 안정화	지역개발	지역및도시	건설건축 	0	126635000
DDP 주변 간판 개선	지역개발	지역및도시	건설건축 	0	162000000
DDP주변 빛환경 개선사업	지역개발	지역및도시	건설건축 	0	10100000000
DMC창업센터 운영	지역개발	지역및도시	건설건축 	619100000	4218200000
『그린트러스트 운동』을 통한 도시녹화	지역개발	지역및도시	건설건축 	300000000	2700000000
가로수 경관조명 설치	지역개발	지역및도시	건설건축 	0	6052000000
가로수 생육환경 개선 및 가로변 녹지량 확충	지역개발	지역및도시	건설건축 	12732000000	228810000000
가로숲 조성	지역개발	지역및도시	건설건축 	0	17106000000
가리봉지구 남부순환로 지하화	지역개발	지역및도시	건설건축 	0	0
간판디자인 팔레트 운영	지역개발	지역및도시	건설건축 	0	491609000
간판이 아름다운 거리 조성	지역개발	지역및도시	건설건축 	3403550000	11503669000
강서구 LED 보안등 교체사업	지역개발	지역및도시	건설건축 	0	0
개발제한구역 주민지원사업	지역개발	지역및도시	건설건축 	2823820000	6612000000
개발제한구역관리	지역개발	지역및도시	건설건축 	74000000	144000000
개운산근린공원(성북)조성	지역개발	지역및도시	건설건축 	0	190000000
개웅산근린공원(구로) 조성	지역개발	지역및도시	건설건축 	203000000	39449270000
건축 주택정책 협의회 운영	지역개발	지역및도시	건설건축 	0	287550000
건축물 내진성능 자가점검시스템 기능개선	지역개발	지역및도시	건설건축 	27000000	130000000
건축위원회 등 운영	지역개발	지역및도시	건설건축 	198774000	899702000
건축정책위원회 및 건축포럼 운영	지역개발	지역및도시	건설건축 	0	120000000
걷고싶은 서울길 마스터플랜 수립	지역개발	지역및도시	건설건축 	155000000	155000000
경관/고도지구에 대한 공공지원 등 합리적 관리방안 수립(도시개발)	지역개발	지역및도시	건설건축 	0	391000000
경관계획 교육 및 알리기 강화 추진	지역개발	지역및도시	건설건축 	0	80000000
경관위원회 설치 운영	지역개발	지역및도시	건설건축 	0	160000000
경관협정 자문단 구성 및 운영	지역개발	지역및도시	건설건축 	0	80000000
경부제2녹지(동작)보상(도시개발)	지역개발	지역및도시	건설건축 	4900000000	40000000000
경부제3녹지(영등포)보상(도시개발)	지역개발	지역및도시	건설건축 	2600000000	22343000000
경의선 지상구간 공원조성	지역개발	지역및도시	건설건축 	5500000000	45720000000
경인 제1녹지(구로)보상	지역개발	지역및도시	건설건축 	0	16883000000
경인고속도로 지하화에 따른 좌우측 지구단위계획 수립 용역	지역개발	지역및도시	건설건축 	0	1400000000
경춘선 폐선부지 공원조성	지역개발	지역및도시	건설건축 	3000000000	106556000000
경춘선 폐선부지 화랑구장 주변 정비	지역개발	지역및도시	건설건축 	0	2500000000
계남근린공원(구로) 조성	지역개발	지역및도시	건설건축 	0	520000000
고가하부 유휴지 녹지조성 사업	지역개발	지역및도시	건설건축 	0	10000000000
고객만족 서비스 수준 향상	지역개발	지역및도시	건설건축 	13608000	239647000
곤충체험관 및 곤충생태관 운영	지역개발	지역및도시	건설건축 	142048000	1023421000
공공관리사업 지원	지역개발	지역및도시	건설건축 	333000000	11901000000
공공기관 담장녹화	지역개발	지역및도시	건설건축 	514000000	20161000000
공공디자인 간행물 '디자인서울' 발간	지역개발	지역및도시	건설건축 	0	438574000
공공시설물 공모전	지역개발	지역및도시	건설건축 	296700000	1691700000
공공정비계획 수립(도시환경정비사업 부문) 보조금 지원	지역개발	지역및도시	건설건축 	600000000	4800000000
공동주택 통합정보마당 구축	지역개발	지역및도시	건설건축 	0	450845000
공원 안내간판 정비(서울대공원)	지역개발	지역및도시	건설건축 	70500000	527759000
공원 편익시설(매점) 시설개선	지역개발	지역및도시	건설건축 	323000000	2529750000
공원 홍보기능 강화	지역개발	지역및도시	건설건축 	63870000	1409241000
공원내 CCTV 설치(주민참여)	지역개발	지역및도시	건설건축 	0	0
공원내 실내배드민턴장 시범조성	지역개발	지역및도시	건설건축 	2946000000	2972000000
공원내 자원봉사자 운영	지역개발	지역및도시	건설건축 	503840000	264736000
공원내 화장실 시설개선	지역개발	지역및도시	건설건축 	789000000	19715000000
